date,temp max,temp min
1962-01-07,31.13999939,22.15999985
1962-02-07,31.31999969,21.68000031
1962-03-07,31.51000023,22.84000015
1962-04-07,31.07999992,22.61000061
1962-05-07,30.28000069,23.04000092
1962-06-07,28.63999939,22.18000031
1962-07-07,27.36000061,21.12000084
1962-08-07,26.37999916,21.81999969
1962-09-07,26.39999962,21.57999992
1962-10-07,27.72999954,22.31999969
1962-11-07,28.04000092,22.29000092
1962-12-07,26.89999962,22.20999908
1962-01-08,27.01000023,22.34000015
1962-02-08,27.28000069,22.44000053
1962-03-08,28.21999931,22.45000076
1962-04-08,27.97999954,22.30999947
1962-05-08,27.94000053,22.46999931
1962-06-08,27.12999916,22.25
1962-07-08,27.39999962,21.87999916
1962-08-08,27.29000092,22.21999931
1962-09-08,27.94000053,22.21999931
1962-10-08,26.95999908,22.03000069
1962-11-08,28.07999992,22.35000038
1962-12-08,26.96999931,22.06999969
1962-01-09,29.69000053,22.46999931
1962-02-09,29.86000061,22.75
1962-03-09,29.78000069,22.29999924
1962-04-09,27.96999931,22.34000015
1962-05-09,28.44000053,22.27000046
1962-06-09,27.56999969,22.29999924
1962-07-09,28.54999924,21.36000061
1962-08-09,28.52000046,21.80999947
1962-09-09,29.13999939,22.15999985
1962-10-09,26.22999954,20.92000008
1962-11-09,26.46999931,21.34000015
1962-12-09,28.23999977,21.56999969
1962-01-10,31.04999924,20.82999992
1962-02-10,31.30999947,20.85000038
1962-03-10,31.54000092,20.80999947
1962-04-10,31.70000076,21.0
1962-05-10,32.25,20.67000008
1962-06-10,31.46999931,21.57999992
1962-07-10,32.58000183,21.63999939
1962-08-10,32.77999878,21.93000031
1962-09-10,31.60000038,21.87999916
1962-10-10,31.54000092,22.96999931
1962-11-10,30.61000061,21.60000038
1962-12-10,31.95000076,20.65999985
1962-01-11,31.12000084,21.75
1962-02-11,29.46999931,21.45999908
1962-03-11,30.20000076,21.20000076
1962-04-11,30.45999908,20.98999977
1962-05-11,30.37000084,20.88999939
1962-06-11,30.71999931,21.81999969
1962-07-11,31.75,21.45999908
1962-08-11,31.89999962,20.27000046
1962-09-11,31.20999908,17.97999954
1962-10-11,31.02000046,17.12000084
1962-11-11,31.40999985,16.46999931
1962-12-11,31.27000046,16.89999962
1962-01-12,31.25,20.63999939
1962-02-12,30.76000023,21.22999954
