_id,Date,Rain,Temp Max,Temp Min
15604,20-09-1993,0,29.61000061,22.63999939
15605,21-09-1993,0,29.53000069,22.37000084
15606,22-09-1993,0,29.55999947,22.25
15607,23-09-1993,2.163456202,27.73999977,21.14999962
15608,24-09-1993,0.181542352,28.39999962,22
15609,25-09-1993,20.75482368,27.43000031,22.18000031
15610,26-09-1993,19.17561913,26.55999947,21.88999939
15611,27-09-1993,10.35588551,27.43000031,21.86000061
15612,28-09-1993,5.179947376,27.54999924,20.38999939
15613,29-09-1993,0,29.38999939,21.31999969
15614,30-09-1993,0,30.42000008,21.95000076
15615,01-10-1993,0,30.75,22.61000061
15616,02-10-1993,1.965741515,30.59000015,22.95000076
15617,03-10-1993,2.178671598,29.79999924,22.03000069
15618,04-10-1993,0,30.40999985,22.05999947
15619,05-10-1993,2.948612213,29.13999939,22.06999969
15620,06-10-1993,0,30.34000015,21.78000069
15621,07-10-1993,0,31.20000076,22.04000092
15622,08-10-1993,0,31.90999985,21.79000092
15623,09-10-1993,0,32.15000153,22.53000069
15624,10-10-1993,0,31.56999969,22.54999924
15625,11-10-1993,4.016491413,29.14999962,21.60000038
15626,12-10-1993,20.11398125,29.12999916,22.78000069
15627,13-10-1993,5.080361366,30.69000053,22.70999908
15628,14-10-1993,26.04660225,30.52000046,21.86000061
15629,15-10-1993,0.982870758,30.02000046,22.47999954
15630,16-10-1993,16.89530945,29.81999969,21.54999924
15631,17-10-1993,8.004327774,30.76000023,21.05999947
15632,18-10-1993,4.199947357,30.46999931,21.92000008
15633,19-10-1993,4.056353092,28.61000061,21.53000069
15634,20-10-1993,1.528454781,30.17000008,21.56999969
15635,21-10-1993,4.964784622,30.72999954,21.07999992
15636,22-10-1993,0.18249926,30.51000023,21.71999931
15637,23-10-1993,0.265093833,30.95999908,21.84000015
15638,24-10-1993,9.886335373,30.5,21.22999954
15639,25-10-1993,22.46458435,30.63999939,21.01000023
15640,26-10-1993,0,31.31999969,21.23999977
15641,27-10-1993,0,31.23999977,21.73999977
15642,28-10-1993,0,31.85000038,22.25
15643,29-10-1993,0,32.22000122,22.42000008
15644,30-10-1993,0,32.61000061,21.01000023
15645,31-10-1993,0,32.13999939,19.18000031
15646,01-11-1993,0,32.02000046,19.57999992
15647,02-11-1993,0,31.73999977,18.29000092
15648,03-11-1993,0,32,17.72999954
15649,04-11-1993,0,31.80999947,17.30999947
15650,05-11-1993,0,31.73999977,18.29000092
15651,06-11-1993,0,31.81999969,18.93000031
15652,07-11-1993,0,32.27999878,19.89999962
15653,08-11-1993,0,32.09000015,19.62000084
15654,09-11-1993,0,32.22999954,20.26000023
15655,10-11-1993,0,31.70000076,19.26000023
15656,11-11-1993,0,32.47999954,20.45999908
15657,12-11-1993,0,30.69000053,21.62999916
15658,13-11-1993,0,30.37000084,21.80999947
15659,14-11-1993,0,31.04000092,21.51000023
15660,15-11-1993,0.982870758,30.95999908,22.04999924
15661,16-11-1993,1.982551813,29.75,22.30999947
15662,17-11-1993,0,29.65999985,22.27000046
15663,18-11-1993,0,29.89999962,21.70999908
15664,19-11-1993,0,29.70000076,21.54999924
15665,20-11-1993,0.982870758,30.61000061,20.80999947
15666,21-11-1993,0,31.37000084,21.15999985
15667,22-11-1993,0,29.87000084,20.78000069
15668,23-11-1993,0,31.48999977,20.80999947
15669,24-11-1993,0,31.87000084,20.09000015
15670,25-11-1993,0,31.47999954,16.70999908
15671,26-11-1993,0,30.85000038,15.57999992
15672,27-11-1993,0,30.70000076,15.22999954
15673,28-11-1993,0,30.69000053,14.85000038
15674,29-11-1993,0,30.45999908,15.03999996
15675,30-11-1993,0,30.81999969,14.86999989
15676,01-12-1993,0,30.45000076,15.64000034
15677,02-12-1993,0,31.18000031,15.11999989
15678,03-12-1993,0,30.93000031,14.82999992
15679,04-12-1993,0,30.54999924,15.14999962
15680,05-12-1993,0,29.19000053,15.85000038
15681,06-12-1993,15.02192116,27.79000092,17.92000008
15682,07-12-1993,0,26.72999954,18.18000031
15683,08-12-1993,0,26.97999954,20.05999947
15684,09-12-1993,0,29.01000023,21.12999916
15685,10-12-1993,0,29.70000076,19.34000015
15686,11-12-1993,0,30.93000031,17.25
15687,12-12-1993,0,31.19000053,16.51000023
15688,13-12-1993,0,30.03000069,15.73999977
15689,14-12-1993,0,29.89999962,16.13999939
15690,15-12-1993,0,29.86000061,15.51000023
15691,16-12-1993,0,29.20999908,14.60999966
15692,17-12-1993,0,29.07999992,14.85999966
15693,18-12-1993,0,29.61000061,15.35999966
15694,19-12-1993,0,29.94000053,14.60999966
15695,20-12-1993,0,29.21999931,13.97000027
15696,21-12-1993,0,28.67000008,13.64000034
15697,22-12-1993,0,29.59000015,14.23999977
15698,23-12-1993,0,30.13999939,14.46000004
15699,24-12-1993,0,29.79000092,15.35000038
15700,25-12-1993,0,29.61000061,16
15701,26-12-1993,0,29.47999954,15.71000004
15702,27-12-1993,0,30.21999931,16.68000031
15703,28-12-1993,0,29.56999969,17.30999947
15704,29-12-1993,0,27.79999924,15.27000046
15705,30-12-1993,0,29.25,16.29999924
15706,31-12-1993,0,29.28000069,16.97999954
15707,01-01-1994,0,30.51000023,16.45999908
15708,02-01-1994,0,30.87999916,16.79000092
15709,03-01-1994,0,30.72999954,16.76000023
15710,04-01-1994,0,30.43000031,17.04000092
15711,05-01-1994,0,31.46999931,16.86000061
15712,06-01-1994,0,30.70000076,16.70000076
15713,07-01-1994,0,31.59000015,16.87000084
15714,08-01-1994,0,31.43000031,16.82999992
15715,09-01-1994,0,31.61000061,16.92000008
15716,10-01-1994,0,30.67000008,18.02000046
15717,11-01-1994,0,30.38999939,17.64999962
15718,12-01-1994,0,28.59000015,18.42000008
15719,13-01-1994,0,28.32999992,16.62999916
15720,14-01-1994,0,27.84000015,14.30000019
15721,15-01-1994,0,27.64999962,13.02999973
15722,16-01-1994,0,27.63999939,10.69999981
15723,17-01-1994,0,28.37000084,12.09000015
15724,18-01-1994,0,29.12000084,14.31999969
15725,19-01-1994,0,28.54000092,15.10000038
15726,20-01-1994,0,28.31999969,15
15727,21-01-1994,0,28.43000031,15.31000042
15728,22-01-1994,0,29.39999962,16.80999947
15729,23-01-1994,0,32,17.72999954
15730,24-01-1994,0,31.61000061,18.01000023
15731,25-01-1994,0,32.08000183,17.88999939
15732,26-01-1994,0,32.18999863,18.04999924
15733,27-01-1994,0,31.62000084,18.23999977
15734,28-01-1994,0,32.29999924,18.70999908
15735,29-01-1994,0,32.36000061,18.42000008
15736,30-01-1994,0,30.97999954,14.96000004
